Name ,Status,Date of Classification
Lasiopetalum sp. Mount Caroline (S.D. Hopper SDH 6381) = Lasiopetalum moullean,Critically Endangered,4-Jul-19
Lasiopetalum sp. Proston (J.A.Baker 17),Critically Endangered,12-Feb-10
Latrobea colophona = Latrobea colophon,Critically Endangered,11-May-18
Leichhardtia araujacea,Critically Endangered,15-Mar-23
Leionema ceratogynum,Critically Endangered,4-Sep-24
Leionema lamprophyllum subsp. fractum,Critically Endangered,13-Nov-21
Leionema westonii,Critically Endangered,20-Mar-23
Lenwebbia sp. Main Range (P.R.Sharpe+ 4877),Critically Endangered,22-Apr-22
Lepidium ginninderrense,Critically Endangered,4-Sep-24
Lepidorrhachis mooreana,Critically Endangered,26-Jun-15
Leptospermum benwellii,Critically Endangered,4-Sep-24
Leptospermum jingera,Critically Endangered,7-Sep-23
Leptospermum petraeum,Critically Endangered,4-Sep-24
Leucopogon gnaphalioides,Critically Endangered,31-Mar-23
"Leucopogon sp. Flynn (F.Hort, J.Hort & A.Lowrie 859)",Critically Endangered,11-May-18
Leucopogon spectabilis,Critically Endangered,19-Aug-10
Lobelia claviflora,Critically Endangered,20-Mar-23
Lomatia tasmanica,Critically Endangered,16-Oct-01
Lysiosepalum abollatum,Critically Endangered,14-May-13
Melichrus gibberagee,Critically Endangered,4-Sep-24
Melicytus latifolius,Critically Endangered,25-Nov-03
Meryta latifolia,Critically Endangered,25-Nov-03
Mitrantia bilocularis,Critically Endangered,20-Mar-23
Myoporum obscurum,Critically Endangered,25-Nov-03
Nematoceras dienemum = Corybas dienemus,Critically Endangered,12-Feb-10
Nematolepis frondosa,Critically Endangered,31-Mar-23
Nematolepis rhytidophylla,Critically Endangered,5-Mar-25
Nitella parooensis,Critically Endangered,11-Dec-20
Notelaea ipsviciensis = Notelaea x ipsviciensis,Critically Endangered,16-Jan-09
Oberonia attenuata,Critically Endangered,30-Apr-16
Paragoodia crenulata,Critically Endangered,14-May-13
Persoonia micranthera,Critically Endangered,7-Sep-23
Persoonia pauciflora,Critically Endangered,8-Jul-05
Phebalium daviesii,Critically Endangered,16-Oct-01
Phebalium speciosum,Critically Endangered,4-Jul-19
Pherosphaera fitzgeraldii,Critically Endangered,5-Mar-25
Philotheca falcata,Critically Endangered,30-Sep-11
Phlegmariurus squarrosus,Critically Endangered,25-Jan-14
Phreatia limenophylax = Plexaure limenophylax,Critically Endangered,25-Nov-03
Pimelea bracteata,Critically Endangered,7-Dec-21
Pimelea cremnophila,Critically Endangered,2-Mar-21
Pimelea spinescens subsp. pubiflora,Critically Endangered,10-Jun-09
Pimelea spinescens subsp. spinescens,Critically Endangered,1-May-03
Plinthanthesis rodwayi,Critically Endangered,3-Mar-21
Pneumatopteris truncata,Critically Endangered,6-Jul-04
Pomaderris delicata,Critically Endangered,11-May-18
Pomaderris gilmourii var. cana,Critically Endangered,5-Oct-22
Pomaderris reperta,Critically Endangered,8-Jan-08
Pomaderris sericea,Critically Endangered,4-Sep-24
Pomaderris vacciniifolia,Critically Endangered,24-Jan-14
Pomaderris walshii,Critically Endangered,25-Sep-20
Prasophyllum atratum,Critically Endangered,13-Nov-09
Prasophyllum bagoense,Critically Endangered,3-May-12
Prasophyllum castaneum,Critically Endangered,16-Oct-01
Prasophyllum favonium,Critically Endangered,16-Oct-01
Prasophyllum incorrectum,Critically Endangered,26-Nov-08
Prasophyllum innubum,Critically Endangered,24-Jan-14
Prasophyllum keltonii,Critically Endangered,24-Jan-14
Prasophyllum laxum,Critically Endangered,9-Apr-15
Prasophyllum limnetes,Critically Endangered,13-Nov-09
Prasophyllum littorale = Prasophyllum litorale,Critically Endangered,5-Oct-22
Prasophyllum milfordense,Critically Endangered,16-Oct-01
Prasophyllum murfetii,Critically Endangered,27-Nov-06
Prasophyllum olidum,Critically Endangered,16-Oct-01
Prasophyllum perangustum,Critically Endangered,16-Oct-01
Prasophyllum pulchellum,Critically Endangered,16-Oct-01
Prasophyllum robustum,Critically Endangered,16-Oct-01
Prasophyllum sp. Wybong (C.Phelps ORG 5269),Critically Endangered,13-Nov-09
Prasophyllum stellatum,Critically Endangered,16-Oct-01
Prasophyllum taphanyx,Critically Endangered,26-Nov-08
Prasophyllum uvidulum,Critically Endangered,15-Nov-23
Prostanthera albohirta,Critically Endangered,17-Apr-14
Prostanthera clotteniana,Critically Endangered,30-Sep-11
Prostanthera gilesii,Critically Endangered,13-Nov-21
Prostanthera marifolia,Critically Endangered,30-Sep-11
Prostanthera palustris,Critically Endangered,7-Sep-23
Prostanthera staurophylla,Critically Endangered,3-Mar-21
Pterostylis bryophila,Critically Endangered,27-Nov-06
Pterostylis commutata,Critically Endangered,16-Oct-01
Pterostylis oreophila,Critically Endangered,3-May-12
Pterostylis psammophila,Critically Endangered,5-May-16
Pterostylis valida,Critically Endangered,30-Sep-11
Pterostylis vernalis,Critically Endangered,12-Feb-10
Pterostylis wapstrarum,Critically Endangered,16-Oct-01
Ptilotus pyramidatus,Critically Endangered,12-Dec-13
Pultenaea sp. Genowlan Point (NSW 417813) = Pultenaea praecipua subsp. praecipua,Critically Endangered,15-Dec-04
Reedia spathacea,Critically Endangered,7-Jan-09
Rhizanthella gardneri,Critically Endangered,25-Sep-20
Rhizanthella johnstonii,Critically Endangered,25-Sep-20
Rhodamnia angustifolia,Critically Endangered,20-Mar-23
Rhodamnia longisepala,Critically Endangered,20-Mar-23
Rhodamnia maideniana,Critically Endangered,20-Mar-23
Rhodamnia rubescens,Critically Endangered,11-Dec-20
Rhodomyrtus psidioides,Critically Endangered,12-Dec-20
Sannantha whitei,Critically Endangered,16-Jul-24
Scaevola macrophylla,Critically Endangered,19-Aug-10
Seringia exastia,Critically Endangered,24-Dec-09
Solanum orgadophilum,Critically Endangered,8-Dec-21
Sphaerolobium acanthos,Critically Endangered,7-Dec-16
Spyridium fontis-woodii,Critically Endangered,6-Mar-21
Stylidium amabile,Critically Endangered,4-Jul-19
Stylidium applanatum,Critically Endangered,15-Feb-18
Stylidium semaphorum,Critically Endangered,11-May-18
Styphelia longissima,Critically Endangered,11-May-18
Synaphea sp. Fairbridge Farm (D.Papenfus 696),Critically Endangered,24-Dec-09
Synaphea sp. Pinjarra (R.Davis 6578),Critically Endangered,24-Dec-09
Synaphea sp. Serpentine (G.R.Brand 103),Critically Endangered,15-Feb-18
Tetratheca gunnii,Critically Endangered,16-Oct-01
Tetratheca nephelioides,Critically Endangered,14-May-13
Thelymitra adorata,Critically Endangered,19-Jul-14
Thelymitra cyanapicata,Critically Endangered,8-Jan-09
Thelymitra hygrophila,Critically Endangered,5-May-16
Thelymitra kangaloonica,Critically Endangered,8-Jan-09
Thelymitra orientalis,Critically Endangered,7-Sep-23
Thynninorchis nothofagicola,Critically Endangered,16-Oct-01
Veronica derwentiana subsp. homalodonta,Critically Endangered,24-Dec-09
Verticordia apecta,Critically Endangered,19-Aug-10
Westringia cremnophila,Critically Endangered,4-Sep-24
Wikstroemia australis,Critically Endangered,25-Nov-03
Wollemia nobilis,Critically Endangered,11-May-18
Xyris exilis,Critically Endangered,4-Sep-24
Zieria adenophora,Critically Endangered,15-Nov-23
Zieria buxijugum,Critically Endangered,25-Sep-20
Zieria exsul,Critically Endangered,8-Dec-21
Zieria odorifera subsp. warrabahensis,Critically Endangered,25-Sep-20
Zieria parrisiae,Critically Endangered,11-May-18
Acacia aprica,Endangered,16-Jul-00
Acacia aristulata,Endangered,16-Jul-00
Acacia ataxiphylla subsp. magna,Endangered,16-Jul-00
Acacia auratiflora,Endangered,16-Jul-00
Acacia baueri subsp. aspera,Endangered,15-Nov-23
Acacia brachypoda,Endangered,16-Jul-00
Acacia chapmanii subsp. australis,Endangered,18-Aug-06
Acacia cochlocarpa subsp. cochlocarpa,Endangered,16-Jul-00
Acacia courtii,Endangered,5-Mar-25
