"","RegionCentroidLatitude","RegionCentroidLongitude","TaxonID","Binomial","State","MaxStatus"
"119",-34.23074081,119.1504387,"p_5572","Andersonia_axilliflora","Western Australia","Critically Endangered"
"120",-34.23074081,119.1504387,"p_60590","Persoonia_micranthera","Western Australia","Critically Endangered"
"121",-34.23074081,119.1504387,"p_82210","Verticordia_pityrhops","Western Australia","Endangered"
"122",-34.23074081,119.1504387,"p_9806","Banksia_anatona","Western Australia","Critically Endangered"
"123",-34.23074081,119.1504387,"p_9844","Banksia_brownii","Western Australia","Critically Endangered"
"124",-34.22528357,150.3223691,"p_64799","Pomaderris_cotoneaster","New South Wales","Endangered"
"125",-34.22470711,151.0051801,"p_8402","Astrotricha_crassifolia","New South Wales","Vulnerable"
"126",-34.15050767,116.6498318,"p_38532","Grevillea_acropogon","Western Australia","Endangered"
"127",-34.15050767,116.6498318,"p_45433","Isopogon_uncinatus","Western Australia","Critically Endangered"
"128",-34.15050767,116.6498318,"p_47552","Lambertia_orbifolia_subsp_orbifolia","Western Australia","Endangered"
"129",-34.15050767,116.6498318,"p_5634","Andersonia_pinaster","Western Australia","Vulnerable"
"130",-34.15050767,116.6498318,"p_9844","Banksia_brownii","Western Australia","Critically Endangered"
"131",-34.1382346,148.3763939,"p_12253","Bossiaea_fragrans","New South Wales","Critically Endangered"
"132",-34.1382346,148.3763939,"p_39649","Grevillea_wilkinsonii","New South Wales","Critically Endangered"
"133",-34.1382346,148.3763939,"p_65324","Prasophyllum_petilum","New South Wales","Endangered"
"134",-34.1382346,148.3763939,"p_83988","Zieria_obcordata","New South Wales","Endangered"
"135",-34.0400509,150.0838695,"p_26648","Diuris_aequalis","New South Wales","Endangered"
"136",-33.91392283,137.9381525,"p_3112","Acanthocladium_dockeri","South Australia","Critically Endangered"
"137",-33.91392283,137.9381525,"p_66311","Pterostylis_arenicola","South Australia","Vulnerable"
"138",-33.91392283,137.9381525,"p_84448","Pterostylis_lepida","South Australia","Endangered"
"139",-33.79845532,134.7934883,"p_63556","Angianthus_phyllocalymmeus","South Australia","Vulnerable"
"140",-33.68682216,151.3158186,"p_55018","Micromyrtus_blakelyi","New South Wales","Vulnerable"
"141",-33.68682216,151.3158186,"p_65567","Prostanthera_junonis","New South Wales","Endangered"
"142",-33.68682216,151.3158186,"p_8402","Astrotricha_crassifolia","New South Wales","Vulnerable"
"143",-33.68682216,151.3158186,"p_84426","Genoplesium_baueri","New South Wales","Endangered"
"144",-33.64860286,146.385139,"p_850","Acacia_curranii","New South Wales","Vulnerable"
"145",-33.59852723,138.730096,"p_13890","Caladenia_argocalla","South Australia","Endangered"
"146",-33.59852723,138.730096,"p_14009","Caladenia_xanthochila","South Australia","Endangered"
"147",-33.59852723,138.730096,"p_3112","Acanthocladium_dockeri","South Australia","Critically Endangered"
